"fecha_inicio_sintomas","Departamento","frecuencia","media_movil_7d"
2020-04-02,"Nariño",1,2.42857142857143
2020-04-02,"Norte de Santander",4,2.57142857142857
2020-04-02,"Quindio",2,2.57142857142857
2020-04-02,"Risaralda",3,2.85714285714286
2020-04-02,"Tolima",1,2.85714285714286
2020-04-02,"Valle del Cauca",29,6.71428571428571
2020-04-03,"Antioquia",7,6.71428571428571
2020-04-03,"Atlántico",8,7.71428571428571
2020-04-03,"Bogotá, D.C.",58,15.4285714285714
2020-04-03,"Bolívar",6,16
2020-04-03,"Cundinamarca",7,16.5714285714286
2020-04-03,"Córdoba",2,16.7142857142857
2020-04-03,"Huila",1,12.7142857142857
2020-04-03,"Magdalena",8,12.8571428571429
2020-04-03,"Meta",2,12
2020-04-03,"Nariño",2,4
2020-04-03,"Norte de Santander",1,3.28571428571429
2020-04-03,"Risaralda",2,2.57142857142857
2020-04-03,"Santander",1,2.42857142857143
2020-04-03,"Tolima",2,2.57142857142857
2020-04-03,"Valle del Cauca",24,4.85714285714286
2020-04-04,"Antioquia",4,5.14285714285714
2020-04-04,"Atlántico",15,7
2020-04-04,"Bogotá, D.C.",94,20.2857142857143
2020-04-04,"Bolívar",4,20.5714285714286
2020-04-04,"Boyacá",1,20.5714285714286
2020-04-04,"Caldas",1,20.4285714285714
2020-04-04,"Cesar",1,17.1428571428571
2020-04-04,"Chocó",2,16.8571428571429
2020-04-04,"Cundinamarca",4,15.2857142857143
2020-04-04,"Huila",2,2.14285714285714
2020-04-04,"Magdalena",5,2.28571428571429
2020-04-04,"Meta",4,2.71428571428571
2020-04-04,"Nariño",4,3.14285714285714
2020-04-04,"Norte de Santander",1,3.14285714285714
2020-04-04,"Quindio",1,3
2020-04-04,"Risaralda",2,2.71428571428571
2020-04-04,"Sucre",1,2.57142857142857
2020-04-04,"Valle del Cauca",23,5.14285714285714
2020-04-05,"Amazonas",1,4.71428571428571
2020-04-05,"Antioquia",5,4.85714285714286
2020-04-05,"Atlántico",4,5.28571428571429
2020-04-05,"Bogotá, D.C.",69,15
2020-04-05,"Bolívar",11,16.2857142857143
2020-04-05,"Cesar",1,16.2857142857143
2020-04-05,"Chocó",1,13.1428571428571
2020-04-05,"Cundinamarca",1,13.1428571428571
2020-04-05,"Magdalena",4,13
2020-04-05,"Meta",13,14.2857142857143
2020-04-05,"Nariño",3,4.85714285714286
2020-04-05,"Norte de Santander",1,3.42857142857143
2020-04-05,"Quindio",1,3.42857142857143
2020-04-05,"Risaralda",2,3.57142857142857
2020-04-05,"Valle del Cauca",21,6.42857142857143
2020-04-06,"Antioquia",12,7.57142857142857
2020-04-06,"Atlántico",5,6.42857142857143
2020-04-06,"Bogotá, D.C.",90,18.8571428571429
2020-04-06,"Bolívar",7,19.7142857142857
2020-04-06,"Caldas",1,19.7142857142857
2020-04-06,"Cauca",2,19.7142857142857
2020-04-06,"Chocó",2,17
2020-04-06,"Cundinamarca",6,16.1428571428571
2020-04-06,"Córdoba",1,15.5714285714286
2020-04-06,"Huila",2,3
2020-04-06,"Magdalena",11,3.57142857142857
2020-04-06,"Meta",4,4
2020-04-06,"Nariño",3,4.14285714285714
2020-04-06,"Norte de Santander",2,4.14285714285714
2020-04-06,"Risaralda",1,3.42857142857143
2020-04-06,"Santander",3,3.71428571428571
2020-04-06,"Tolima",1,3.57142857142857
2020-04-06,"Valle del Cauca",26,5.71428571428571
2020-04-07,"Amazonas",1,5.28571428571429
2020-04-07,"Antioquia",6,5.71428571428571
2020-04-07,"Atlántico",13,7.28571428571429
2020-04-07,"Bogotá, D.C.",59,15.5714285714286
2020-04-07,"Bolívar",5,15.8571428571429
2020-04-07,"Caldas",1,15.8571428571429
2020-04-07,"Cesar",1,12.2857142857143
2020-04-07,"Cundinamarca",3,12.5714285714286
2020-04-07,"Huila",1,11.8571428571429
2020-04-07,"Magdalena",13,11.8571428571429
2020-04-07,"Meta",4,4
2020-04-07,"Nariño",2,3.57142857142857
2020-04-07,"Norte de Santander",1,3.57142857142857
2020-04-07,"Risaralda",4,4
2020-04-07,"Tolima",1,3.71428571428571
2020-04-07,"Valle del Cauca",20,6.42857142857143
2020-04-08,"Antioquia",7,5.57142857142857
2020-04-08,"Atlántico",4,5.57142857142857
2020-04-08,"Bogotá, D.C.",76,16.1428571428571
2020-04-08,"Bolívar",10,17.4285714285714
2020-04-08,"Casanare",1,17
2020-04-08,"Cauca",1,17
2020-04-08,"Cesar",3,14.5714285714286
2020-04-08,"Cundinamarca",3,14
2020-04-08,"Huila",3,13.8571428571429
2020-04-08,"Magdalena",8,4.14285714285714
2020-04-08,"Meta",5,3.42857142857143
2020-04-08,"Nariño",3,3.71428571428571
2020-04-08,"Quindio",2,3.85714285714286
2020-04-08,"Risaralda",8,4.57142857142857
2020-04-08,"Tolima",1,4.28571428571429
2020-04-08,"Valle del Cauca",17,6.28571428571429
2020-04-09,"Antioquia",7,6.14285714285714
2020-04-09,"Atlántico",3,5.85714285714286
2020-04-09,"Bogotá, D.C.",65,14.7142857142857
2020-04-09,"Bolívar",6,15.2857142857143
2020-04-09,"Caldas",3,14.5714285714286
2020-04-09,"Casanare",1,14.5714285714286
2020-04-09,"Cauca",1,12.2857142857143
2020-04-09,"Chocó",1,11.4285714285714
2020-04-09,"Cundinamarca",7,12
2020-04-09,"Córdoba",1,2.85714285714286
2020-04-09,"Huila",1,2.14285714285714
2020-04-09,"Magdalena",3,2.14285714285714
2020-04-09,"Meta",3,2.42857142857143
2020-04-09,"Nariño",3,2.71428571428571
2020-04-09,"Risaralda",4,3.14285714285714
2020-04-09,"Santander",1,2.28571428571429
2020-04-09,"Tolima",3,2.57142857142857
2020-04-09,"Valle del Cauca",29,6.57142857142857
2020-04-10,"Amazonas",1,6.28571428571429
2020-04-10,"Antioquia",19,8.57142857142857
2020-04-10,"Atlántico",9,9.42857142857143
2020-04-10,"Bogotá, D.C.",103,23.5714285714286
2020-04-10,"Bolívar",13,25.2857142857143
2020-04-10,"Boyacá",1,25
2020-04-10,"Caldas",1,21
2020-04-10,"Cesar",2,21.1428571428571
2020-04-10,"Cundinamarca",5,19.1428571428571
2020-04-10,"Córdoba",1,18
2020-04-10,"Huila",2,3.57142857142857
2020-04-10,"La Guajira",1,1.85714285714286
2020-04-10,"Magdalena",10,3.14285714285714
2020-04-10,"Meta",6,3.85714285714286
2020-04-10,"Nariño",7,4.57142857142857
2020-04-10,"Norte de Santander",4,4.42857142857143
2020-04-10,"Quindio",2,4.57142857142857
2020-04-10,"Risaralda",5,5
2020-04-10,"Santander",2,5.14285714285714
2020-04-10,"Tolima",1,3.85714285714286
2020-04-10,"Valle del Cauca",20,5.85714285714286
2020-04-11,"Amazonas",6,5.71428571428571
2020-04-11,"Antioquia",7,6.14285714285714
2020-04-11,"Atlántico",8,7
2020-04-11,"Bogotá, D.C.",71,16.4285714285714
2020-04-11,"Bolívar",3,16.5714285714286
2020-04-11,"Casanare",2,16.7142857142857
2020-04-11,"Cesar",3,14.2857142857143
2020-04-11,"Cundinamarca",6,14.2857142857143
2020-04-11,"Huila",5,14
2020-04-11,"Magdalena",5,13.5714285714286
2020-04-11,"Meta",5,4.14285714285714
2020-04-11,"Nariño",6,4.57142857142857
2020-04-11,"Norte de Santander",2,4.57142857142857
2020-04-11,"Quindio",1,4.28571428571429
