"nombre_departamento","grupo_edad","casos"
"cundinamarca",66,165
"cundinamarca",67,180
"cundinamarca",68,170
"cundinamarca",69,195
"cundinamarca",70,210
"cundinamarca",71,170
"cundinamarca",72,218
"cundinamarca",73,138
"cundinamarca",74,168
"cundinamarca",75,161
"cundinamarca",76,160
"cundinamarca",77,165
"cundinamarca",78,162
"cundinamarca",79,177
"cundinamarca",80,174
"cundinamarca",81,154
"cundinamarca",82,173
"cundinamarca",83,142
"cundinamarca",84,1084
"guainia",25,1
"guainia",33,1
"guainia",37,1
"guainia",39,1
"guainia",40,1
"guainia",42,1
"guainia",46,1
"guainia",48,1
"guainia",52,2
"guainia",54,4
"guainia",57,1
"guainia",58,1
"guainia",63,2
"guainia",64,1
"guainia",66,2
"guainia",68,2
"guainia",69,1
"guainia",70,1
"guainia",73,1
"guainia",74,3
"guainia",75,1
"guainia",79,1
"guainia",81,3
"guainia",83,1
"guainia",84,2
"la_guajira",0,5
"la_guajira",1,2
"la_guajira",3,1
"la_guajira",12,1
"la_guajira",14,1
"la_guajira",16,1
"la_guajira",18,2
"la_guajira",19,2
"la_guajira",20,3
"la_guajira",21,1
"la_guajira",22,3
"la_guajira",23,1
"la_guajira",24,1
"la_guajira",25,4
"la_guajira",26,4
"la_guajira",27,2
"la_guajira",28,5
"la_guajira",29,5
"la_guajira",30,3
"la_guajira",31,2
"la_guajira",32,5
"la_guajira",33,9
"la_guajira",34,6
"la_guajira",35,4
"la_guajira",36,8
"la_guajira",37,12
"la_guajira",38,7
"la_guajira",39,15
"la_guajira",40,13
"la_guajira",41,12
"la_guajira",42,15
"la_guajira",43,11
"la_guajira",44,15
"la_guajira",45,16
"la_guajira",46,19
"la_guajira",47,16
"la_guajira",48,14
"la_guajira",49,16
"la_guajira",50,20
"la_guajira",51,19
"la_guajira",52,25
"la_guajira",53,24
"la_guajira",54,25
"la_guajira",55,32
"la_guajira",56,18
"la_guajira",57,35
"la_guajira",58,26
"la_guajira",59,28
"la_guajira",60,41
"la_guajira",61,35
"la_guajira",62,38
"la_guajira",63,42
"la_guajira",64,36
"la_guajira",65,35
"la_guajira",66,29
"la_guajira",67,32
"la_guajira",68,40
"la_guajira",69,43
"la_guajira",70,38
"la_guajira",71,35
"la_guajira",72,26
"la_guajira",73,31
"la_guajira",74,38
"la_guajira",75,28
"la_guajira",76,23
"la_guajira",77,38
"la_guajira",78,49
"la_guajira",79,32
"la_guajira",80,33
"la_guajira",81,35
"la_guajira",82,29
"la_guajira",83,19
"la_guajira",84,215
"guaviare",25,1
"guaviare",32,1
"guaviare",33,1
"guaviare",38,2
"guaviare",39,1
"guaviare",41,1
"guaviare",42,1
"guaviare",47,2
"guaviare",48,1
"guaviare",49,2
"guaviare",50,1
"guaviare",51,2
"guaviare",53,2
"guaviare",55,3
"guaviare",56,2
"guaviare",57,2
"guaviare",58,3
"guaviare",60,4
"guaviare",61,1
"guaviare",62,2
"guaviare",63,6
"guaviare",64,3
"guaviare",66,2
"guaviare",67,3
"guaviare",68,7
"guaviare",69,1
"guaviare",70,3
"guaviare",71,3
"guaviare",72,1
"guaviare",73,3
"guaviare",74,4
"guaviare",75,3
"guaviare",76,1
"guaviare",77,3
"guaviare",78,2
"guaviare",79,3
"guaviare",80,3
"guaviare",81,1
"guaviare",82,5
"guaviare",83,2
"guaviare",84,11
"huila",0,4
"huila",2,1
"huila",3,1
"huila",6,2
"huila",8,1
"huila",10,1
"huila",17,2
"huila",18,2
"huila",19,2
"huila",20,2
"huila",21,3
"huila",22,3
"huila",23,3
"huila",24,1
"huila",25,2
"huila",26,6
"huila",27,7
"huila",28,5
"huila",29,10
"huila",30,7
"huila",31,8
"huila",32,11
"huila",33,10
"huila",34,4
"huila",35,14
"huila",36,8
"huila",37,14
"huila",38,17
"huila",39,19
"huila",40,14
"huila",41,23
"huila",42,22
"huila",43,16
"huila",44,32
"huila",45,31
"huila",46,25
"huila",47,29
"huila",48,28
"huila",49,26
"huila",50,44
"huila",51,35
"huila",52,36
"huila",53,50
"huila",54,47
"huila",55,47
"huila",56,54
"huila",57,64
"huila",58,50
"huila",59,56
"huila",60,70
"huila",61,67
"huila",62,75
"huila",63,72
"huila",64,92
"huila",65,70
"huila",66,87
"huila",67,101
"huila",68,93
"huila",69,96
"huila",70,97
"huila",71,102
"huila",72,82
"huila",73,103
"huila",74,89
"huila",75,95
"huila",76,81
